ticker,name,sector,market_cap,EPS,PE_ratio,ROE,PB_ratio,div_payout_ratio,PS_ratio,FCF,divident_yield,debt_equity,earnings_growth
FGL.JO,Finbond Group Ltd,Financial Services,85412495360.0,-0.245,,-0.13655,90.99181,0.0,49.086033,111694624.0,,197.694,
,,,,,,,,,,,,,
FSR.JO,Firstrand Ltd,Financial Services,36127377457152.0,4.769,1350.8073,0.17704001,227.58426,0.2307,380.63675,,0.0497,,1.04
FSRP.JO,Firstrand Ltd B Pref,,501741158400.0,,1972.4366,,,,,,,,
FTH.JO,Frontier Transport Hldg Ld,Industrials,145000005632.0,0.856,584.1121,0.19205,109.02747,0.514,75.60203,307458240.0,0.0794,23.34,
FVT.JO,Fairvest Property Hldgs,Real Estate,218807599104.0,0.295,735.59326,0.1402,94.34783,0.6949,397.75027,212711744.0,0.100200005,52.187,
GFI.JO,Gold Fields Ltd,Basic Materials,13928280096768.0,16.742,937.164,0.28254,3567.531,0.2914,3379.5022,502849984.0,0.0311,44.236,
GLI.JO,Go Life International Ld,Healthcare,900000000.0,-0.005,,,,0.0,,97808.0,,,
GLN.JO,Glencore plc,Basic Materials,115198564237312.0,2.381,3666.9465,0.04476,3074.296,0.375,697.4039,10810999808.0,0.021,100.599,
GML.JO,Gemfields Group Limited,Basic Materials,435947503616.0,-0.204,,-0.025,1008.1081,0.0,3732.3313,25170250.0,,8.48,
GND.JO,Grindrod Ltd,Industrials,325797314560.0,-0.892,,-0.06762,42.791603,0.0,84.61059,2972186624.0,,61.754,
GNDP.JO,Grindrod Ltd Pref,Industrials,4761274368.0,-0.892,,-0.06762,742.8975,,1.236518,2972186624.0,0.0722,61.754,
GPL.JO,Grand Parade Inv Ltd,Consumer Cyclical,123658297344.0,-0.068,,-0.01822,69.84924,0.0,73.789375,-20962000.0,,43.685,
GRT.JO,Growthpoint Prop Ltd,Real Estate,4971622301696.0,-0.153,,0.0057,74.86165,,378.7614,4207749888.0,0.0775,82.092,1.1
GSH.JO,Grindrod Shipping Hldg Ltd,Industrials,516767219712.0,41.787,664.53687,0.23048,1843.5239,0.0,1217.3063,99972376.0,0.1685,101.798,
GTC.JO,Globe Trade Centre S.A.,Real Estate,971110023168.0,-0.796,,-0.02095,988.63074,0.0,5958.827,-5948750.0,,133.78,
HAR.JO,Harmony GM Co Ltd,Basic Materials,3469948747776.0,8.25,688.8485,0.18773001,112.34778,0.1333,83.1464,-477000000.0,0.0084,11.604,0.65
HCI.JO,Hosken Cons Inv Ltd,Industrials,622618148864.0,-5.317,,0.09252,49.73257,0.0,35.73949,1901790976.0,,87.512,
HDC.JO,Hudaco Industries Ltd,Industrials,398214889472.0,15.398,854.007,0.20841,150.44044,0.2676,56.882664,785761152.0,0.051,43.661,
HET.JO,Heriot REIT Limited,Real Estate,293705383936.0,1.226,938.0098,0.11046,100.656456,,582.5939,190204992.0,0.0759,61.87,
HIL.JO,Homechoice Int plc,Consumer Cyclical,324990763008.0,1.686,1832.7402,0.05619,99.35372,0.0,116.77713,-229875008.0,0.0152,36.583,
HLM.JO,Hulamin Ltd,Basic Materials,141908164608.0,0.282,1631.2057,0.037469998,57.320873,0.0,13.679245,-152479376.0,,33.72,
HMN.JO,Hammerson plc,Real Estate,3322062831616.0,-5.182,,-0.309,1100.8772,,12617.025,292675008.0,0.0117999995,75.518,
HUG.JO,Huge Group Ltd,Communication Services,59728031744.0,2.947,116.728874,0.41939,39.74122,0.0,246.95341,85921880.0,,8.052,
HUL.JO,Hulisani Limited,Utilities,21500000256.0,0.68,632.3529,0.09079,55.298355,0.088199995,338.30032,13086875.0,0.0139999995,26.014,
,,,,,,,,,,,,,
HYP.JO,Hyprop Inv Ltd,Real Estate,1284172677120.0,-2.969,,-0.043390002,59.669018,,462.37787,-422441632.0,0.0881,28.729,1.78
IAP.JO,Irongate Group,Real Estate,1200925573120.0,1.063,1750.7056,0.29006,1230.8202,0.785,19118.58,-39745528.0,0.0511,42.237,
ILE.JO,Imbalie Beauty Limited,Consumer Defensive,2768079872.0,-0.005,,0.07698,95.2381,0.0,930.7599,18551376.0,,11.217,
ILU.JO,Indluplace Properties Ltd,Real Estate,106788225024.0,-0.344,,-0.04657,48.738533,,177.71957,-4104039.0,0.078099996,66.192,
IMP.JO,Impala Platinum Hlgs Ltd,Basic Materials,17658992918528.0,59.57,364.78094,0.6166,201.39017,0.235,136.28395,31908374528.0,0.096099995,1.465,-0.48
INL.JO,Investec Ltd,Financial Services,2327151902720.0,8.695,1000.23004,0.08151,1680.5796,0.5573,1341.2445,,0.0546,,
INLP.JO,Investec Bank Ltd Pref,Financial Services,3820176384.0,59.559,166.80939,0.11076,14.284584,,0.29325065,,0.0589,,
INP.JO,Investec plc,Financial Services,6115089186816.0,8.695,1010.3508,0.08151,1697.5845,0.3268,3524.4067,,0.042,,
INPP.JO,Investec plc Pref,Financial Services,105044279296.0,0.66,16666.666,,1616.9337,,,,0.023599999,,
INPPR.JO,Investec plc Pref (Rand),Financial Services,84443144192.0,8.695,920.6441,0.08151,1546.8599,,48.668465,,0.083100006,,
INPR.JO,Investec Ltd Pref,,79958736896.0,,12553.495,,,,,,,,
IPF.JO,Investec Property Fund Ltd,Real Estate,1018221297664.0,0.638,1982.7585,0.06264,75.66242,1.2333,685.79376,4051442944.0,0.08229999,71.828,
IPL.JO,Imperial Logistics Ltd,Industrials,1276808658944.0,4.89,1320.8589,0.06662,178.08597,0.4511,24.456188,4555874816.0,0.038900003,130.919,0.83
ISA.JO,ISA Holdings Limited,Technology,13291599872.0,0.083,1132.5302,0.21505,233.83084,1.0921,197.45082,7107250.0,0.0844,,
ISB.JO,Insimbi Ind Hldgs Ltd,Industrials,41388097536.0,0.195,512.82056,0.16608,73.31378,0.0,6.9905415,-32558856.0,,114.657,
ITE.JO,Italtile Ltd,Consumer Cyclical,1946704019456.0,1.401,1142.0414,0.29885998,306.396,0.2926,213.1039,782000000.0,0.0294,13.511,
IVT.JO,Invicta Holdings Ltd,Industrials,340304527360.0,6.509,475.49548,0.09956,88.16659,0.16950001,48.891323,1704005120.0,0.0226,34.986,
IVTP.JO,Invicta Hldgs Ltd pref,Industrials,,6.509,1310.6469,0.09956,243.02074,,,1704005120.0,0.0862,34.986,
JBL.JO,Jubilee Metals Group plc,Basic Materials,809076719616.0,0.381,874.01575,0.34874,5644.068,0.0,6090.37,-16112476.0,,6.841,
JSC.JO,Jasco Electron Hldgs Ltd,Industrials,7984691712.0,0.029,1241.3794,-0.46236,264.70587,0.0,12.125189,33500750.0,,555.647,
JSE.JO,JSE Ltd,Financial Services,950731079680.0,7.766,1473.2167,0.17152001,249.97815,0.9257,394.56445,-467394880.0,0.066,7.335,
KAL.JO,Kaap Agri Limited,Consumer Defensive,370169479168.0,4.518,1107.3484,0.14687,153.65007,0.1992,34.979107,190006880.0,0.0402,63.182,
KAP.JO,KAP Industrial Hldgs Ltd,Industrials,1103603171328.0,0.383,1138.3812,0.11771,107.680916,0.0,46.06792,331500000.0,0.0346,70.131,0.68
KBO.JO,Kibo Energy plc,Energy,20514621440.0,-0.044,,-0.2343,583.3333,0.0,,-2664635.0,,2.514,
KIO.JO,Kumba Iron Ore Ltd,Basic Materials,15991348133888.0,117.212,425.3831,0.77565,278.22263,0.5194,142.60037,46550499328.0,0.2492,0.567,
KP2.JO,Kore Potash plc,Basic Materials,74260783104.0,-0.02,,-0.01801,400.0,0.0,-4203837,-5184871.0,,,
KRO.JO,Karooooo Ltd,Technology,1732952064000.0,14.615,3830.9956,,928.17,0.0,696.14105,,,10.997,304.74
KST.JO,PSG Konsult Limited,Financial Services,1846180052992.0,0.584,2397.2603,0.21714,492.95776,0.4195,333.74948,,0.0195,7.114,
L2D.JO,Liberty Two Degrees LTD,Real Estate,416930889728.0,0.097,4845.361,0.0127,61.712185,3.1479998,464.49832,195901120.0,0.1013,30.513,
L4L.JO,Long 4 Life Limited,Consumer Cyclical,369071980544.0,0.535,1084.112,0.08055,79.779915,0.0,92.094025,539330496.0,0.0174,12.411,
LAB.JO,Labat Africa Ltd,Technology,14873639936.0,-0.008,,-0.6339,197.36842,0.0,-94.23477,-37897500.0,,17.089,
LBH.JO,Liberty Holdings Ltd,Financial Services,2563193962496.0,3.688,2638.5576,0.047470003,120.77397,0.0,31.537685,16972874752.0,,64.258,
LBR.JO,Libstar Holdings Ltd,Consumer Defensive,398002388992.0,0.083,8048.193,0.009,75.20829,6.0241,37.20836,296904384.0,0.0358,52.35,
LEW.JO,Lewis Group Ltd,Consumer Cyclical,313836765184.0,6.632,742.0084,0.10144,71.13225,0.4945,44.218555,613862528.0,0.0806,17.567,
LHC.JO,Life Healthc Grp Hldgs Ltd,Healthcare,3317121417216.0,1.203,1896.0931,0.09437,183.61104,0.0,122.58847,2400624896.0,0.0106,68.118,0.81
LNF.JO,London Fin Inv Group plc,Financial Services,21845250048.0,1.028,680.93384,0.08796,1157.0248,0.244,21229.592,251250.0,0.0334,4.447,
LTE.JO,Lighthouse Capital Ltd,Real Estate,1457508450304.0,-3.593,,,5677.215,,-14030.773,,0.0537,53.305,
LUX.JO,Luxe Holdings Limited,Consumer Cyclical,5325528064.0,-0.831,,-0.1478,42.5155,0.0,12.007197,39648876.0,,155.649,
