Code,Market Cap,Last trade,Change,%Change,Sector
CHP,"	1016830000",0.78,0,0,Consumer Services
ADI,"	976731000",7.09,0,0,Technology
DIB,"	952797000",3.8,0.2,5.56,Financials
SOLBE1,"	949702000",152.8,2.8,1.87,Basic Materials
BCF,"	935996000",11.94,-0.01,-0.08,Industrials
FGL,"	908243000",1,0,0,Financials
SFN,"	907994000",28.99,0.88,3.13,Financials
AHA,"	903149000",14.4,0,0,Financials
MST,"	843520000",13.26,0.08,0.61,Technology
WSL,"	839834000",1.9,-0.1,-5,Basic Materials
DNB,"	832148000",1.9,-0.01,-0.52,Financials
MMP,"	824723000",23,0,0,Industrials
PBG,"	821283000",7.75,0,0,Technology
NVS,"	814642000",2.35,0,0,Industrials
TRE,"	803466000",4.6,-0.03,-0.65,Industrials
ART,"	773272000",13.25,0,0,Industrials
DKR,"	720697000",20.5,0,0,Financials
TON,"	718799000",5.33,0.01,0.19,Consumer Goods
TPF,"	712161000",7,2.1,42.86,Financials
NWL,"	711099000",31,-0.4,-1.27,Consumer Goods
TMT,"	691375000",3.05,0,0,Financials
SNV,"	691160000",4.9,-0.1,-2,Industrials
KP2,"	675099000",0.22,0.02,10,Basic Materials
OLG,"	628554000",2.96,0.56,23.33,Industrials
HUG,"	608374000",3.47,0,0,Telecommunications
CND,"	603911000",0.76,-0.03,-3.8,Financials
CGR,"	600461000",4.2,-0.08,-1.87,Industrials
EPS,"	596840000",4.34,0,0,Basic Materials
CKS,"	572412000",37.5,0,0,Consumer Goods
ADR,"	571764000",5.3,0.1,1.92,Industrials
TPC,"	548089000",16.84,-0.56,-3.22,Industrials
ALH,"	521923000",4.1,0,0,Technology
AEE,"	491022000",1,0,0,Financials
SEP,"	483524000",1.9,0,0,Industrials
NVE,"	482048000",1.96,0,0,Financials
VUN,"	480245000",2.98,0,0,Financials
ISB,"	421538000",0.99,-0.01,-1,Basic Materials
ASC,"	401365000",0.77,-0.05,-6.1,Health Care
DLT,"	392826000",0.62,0.07,12.73,Financials
RSG,"	389525000",0.67,0,0,Basic Materials
NRL,"	379000000",3.79,0,0,Financials
BIK,"	335297000",0.42,0.02,5,Industrials
WKF,"	316851000",1.3,0,0,Industrials
BUC,"	316014000",0.75,0,0,Basic Materials
TRL,"	307528000",3.23,0,0,Industrials
RHB,"	302755000",4.68,0,0,Financials
ARA,"	301451000",5.31,0,0,Financials
EMH,"	296718000",4.55,-0.1,-2.15,Consumer Services
SEB,"	282691000",2.4,-0.06,-2.44,Technology
AME,"	276128000",39,3.95,11.27,Consumer Services
BAU,"	262436000",0.34,-0.01,-2.86,Basic Materials
SOH,"	262227000",1.29,0,0,Industrials
BRT,"	240840000",6.04,0,0,Financials
KBO,"	234453000",0.08,0,0,Basic Materials
ELI,"	233566000",0.27,-0.02,-6.9,Industrials
LNF,"	218452000",7,0,0,Financials
FSE,"	212982000",0.06,0,0,Basic Materials
HUL,"	207500000",4.15,0,0,Financials
CMO,"	203394000",0.08,0,0,Basic Materials
PFB,"	195000000",0.74,-0.01,-1.33,Consumer Goods
AVL,"	189538000",0.38,0,0,Health Care
REB,"	188798000",0.26,-0.01,-3.7,Financials
CVW,"	187056000",5,0,0,Financials
MCZ,"	186848000",1.19,-0.02,-1.65,Basic Materials
ETO,"	186256000",0.32,-0.01,-3.03,Technology
CGN,"	176540000",0.77,0,0,Technology
CSG,"	173246000",0.33,0,0,Industrials
RTN,"	170313000",10,0.5,5.26,Consumer Services
PPR,"	169637000",4,0,0,Financials
LAB,"	166921000",0.31,-0.02,-6.06,Industrials
ISA,"	145004000",0.85,0,0,Technology
4SI,"	138570000",0.24,0.03,14.29,Financials
EEL,"	132460000",0.12,0,0,Oil & Gas
PMV,"	129115000",1.05,0,0,Industrials
REA,"	94899000",1.55,0.05,3.33,Financials
EUZ,"	90208900",1.01,-0.13,-11.4,Basic Materials
SSK,"	88398000",0.49,0.02,4.26,Industrials
RNG,"	82043600",1.1,0,0,Basic Materials
JSC,"	77968500",0.31,-0.03,-8.82,Technology
TLM,"	72487600",1.3,0,0,Telecommunications
AON,"	71553400",7,0,0,Consumer Services
UAT,"	69458500",0.04,0,0,Basic Materials
BSR,"	59813200",0.04,0,0,Industrials
HWA,"	51680300",0.51,0,0,Basic Materials
NCS,"	48099200",0.9,0,0,Consumer Services
RTO,"	46492900",16,0,0,Consumer Services
PEM,"	41524000",0.1,0,0,Consumer Services
SVB,"	40306900",1.2,0,0,Technology
CAC,"	38731200",1.16,0,0,Industrials
PSV,"	32718600",0.08,0,0,Industrials
SPA,"	30535700",3.75,0,0,Basic Materials
VIS,"	28088600",0.07,0,0,Financials
MRI,"	25885700",0.03,0,0,Industrials
TAS,"	23968200",0.041,0,-2.38,Consumer Services
AOO,"	21200000",16.96,0,0,Consumer Services
ILE,"	13840400",0.01,0,0,Consumer Goods
AHL,"	11223900",0.47,0.36,327.27,Consumer Goods
ECS,"	9332280",0.026,0,0,Financials
GLI,"	9000000",0.01,0,0,Health Care
WEA,"	8291800",0.03,0,0,Industrials
NFP,"	8046770",0.05,0,0,Financials
ADW,"	7637630",0.12,0,0,Financials
NUT,"	6697350",0.01,0,0,Health Care
TCS,"	4901350",0.01,0,0,Technology
ACZ,"	2345330",0.02,0,0,Financials
PHM,"	0",0,0,0,Consumer Services
RPL,"	0",0,0,0,Financials
ACE,"	0",0,0,0,Industrials
RDI,"	0",0,0,0,Basic Materials
AFX,"	0",0,0,0,Basic Materials
ACG,"	0",0,0,0,Financials
ALP,"	0",0,0,0,Financials
TBG,"	0",0,0,0,Consumer Services
CTK,"	0",0,0,0,Industrials
UCP,"	0",0,0,0,Basic Materials
VLE,"	0",0,0,0,Industrials
COM,"	0",0,0,0,Consumer Services
CIL,"	0",0,0,0,Industrials
EFG,"	0",0,0,0,Financials
ELR,"	0",0,0,0,Industrials
ESR,"	0",0,0,0,Industrials
FDP,"	0",0,0,0,Financials
GAI,"	0",0,0,0,Financials
GRF,"	0",0,0,0,Industrials
HPB,"	0",0,0,0,Financials
IDQ,"	0",0,0,0,Financials
KDV,"	0",0,0,0,Industrials
MZR,"	0",0,0,0,Industrials
MLE,"	0",0,0,0,Financials
MNK,"	0",0,0,0,Oil & Gas
