JSE_code,Company,Market_cap,Sector
SVB,SilverBridge Holdings Ltd.,40306900,Technology
SXM,Sable Exploration and Mining Ltd.,,
SYG,Sygnia Ltd.,2738290000,Financials
SZK,SAB Zenzele Kabili Holdings (RF) Ltd.,,
TBS,Tiger Brands Ltd.,33343600000,Consumer Goods
TCP,Transaction Capital Ltd.,32363400000,Financials
TCS,Total Client Services Ltd.,4901350,Technology
TDH,Tradehold Ltd.,2639600000,Financials
TDHBP,Tradehold Ltd.,,
TEX,Texton Property Fund Ltd.,1404050000,Financials
TFG,The Foschini Group Ltd.,40236400000,Consumer Services
TFGP,The Foschini Group Ltd.,,
TGA,Thungela Resources Ltd.,11469300000,Basic Materials
TGO,Tsogo Sun Hotels Ltd.,4891870000,Consumer Services
THA,Tharisa plc,7416750000,Basic Materials
TKG,Telkom SA SOC Ltd.,26318600000,Telecommunications
TLM,TeleMasters Holdings Ltd.,72487600,Telecommunications
TMT,Trematon Capital Investments Ltd.,691375000,Financials
TON,Tongaat Hulett Ltd.,718799000,Consumer Goods
TPC,Transpaco Ltd.,548089000,Industrials
TPF,Transcend Residential Property Fund Ltd.,712161000,Financials
TRE,Trencor Ltd.,803466000,Industrials
TRL,Trellidor Holdings Ltd.,307528000,Industrials
TRU,Truworths International Ltd.,22258700000,Consumer Services
TSG,Tsogo Sun Gaming Ltd.,12024700000,Consumer Services
TTO,Trustco Group Holdings Ltd.,2068530000,Financials
TWR,Tower Property Fund Ltd.,1269920000,Financials
TXT,Textainer Group Holdings Ltd.,28235500000,Industrials
UAT,Union Atlantic Minerals Ltd.,69458500,Basic Materials
UPL,Universal Partners Ltd.,1144930000,Financials
VIS,Visual International Holdings Ltd.,28088600,Financials
VKE,Vukile Property Fund Ltd.,12258800000,Financials
VOD,Vodacom Group Ltd.,2.44E+11,Telecommunications
VUN,Vunani Ltd.,480245000,Financials
VVO,Vivo Energy plc,36095200000,Consumer Services
WBO,Wilson Bayly Holmes - Ovcon Ltd.,6705340000,Industrials
WEA,W G Wearne Ltd.,8291800,Industrials
WEZ,Wesizwe Platinum Ltd.,1692940000,Basic Materials
WHL,Woolworths Holdings Ltd.,54235400000,Consumer Services
WKF,Workforce Holdings Ltd.,316851000,Industrials
WSL,Wescoal Holdings Ltd.,839834000,Basic Materials
YRK,York Timber Holdings Ltd.,1225590000,Basic Materials
YYLBEE,YeboYethu Ltd.,2664320000,Financials
ZED,Zeder Investments Ltd.,4907570000,Financials
