Ticker,Name,Sector,Market_cap,EPS,PE_ratio,ROE,PB_ratio,Div_payout,PS_ratio,FCF,Debt_to_equity
LBH.JO,Liberty Holdings Ltd,Financial Services,25631939624.96,3.688,2638.5576,0.047470003,120.77397,0.0,31.537685,169728747.52,64.258
LBR.JO,Libstar Holdings Ltd,Consumer Defensive,3980023889.92,0.083,8048.193,0.009,75.20829,6.0241,37.20836,2969043.84,52.35
LEW.JO,Lewis Group Ltd,Consumer Cyclical,3138367651.84,6.632,742.0084,0.10144,71.13225,0.4945,44.218555,6138625.28,17.567
LHC.JO,Life Healthc Grp Hldgs Ltd,Healthcare,33171214172.16,1.203,1896.0931,0.09437,183.61104,0.0,122.58847,24006248.96,68.118
LNF.JO,London Fin Inv Group plc,Financial Services,218452500.48,1.028,680.93384,0.08796,1157.0248,0.244,21229.592,2512.5,4.447
LTE.JO,Lighthouse Capital Ltd,Real Estate,14575084503.04,-3.593,1411.27358334375,0.02961041621875,5677.215,0.39719999435897435,-14030.773,1611233.3044,53.305
LUX.JO,Luxe Holdings Limited,Consumer Cyclical,53255280.64,-0.831,3200.934360714286,-0.1478,42.5155,0.0,12.007197,396488.76,155.649
MCG.JO,MultiChoice Group Ltd,Communication Services,51150045839.36,2.447,4878.2183,0.31847998,426.29095,2.3347,94.45294,215252500.48,183.038
MCZ.JO,MC Mining Limited,Energy,191480791.04,-1.233,1486.8909039999999,-0.11522,178.41727,0.0,924.9386,31983.75,25.246
MDI.JO,Master Drilling Grp Ltd,Industrials,1800029798.4,0.793,1500.6305,0.04698,1114.2323,0.0,1306.8418,151765.91,24.446
MEI.JO,Mediclinic Int plc,Healthcare,51127873699.84,3.428,2023.0455,0.04341,1682.0276,0.0,1615.4147,2271750.08,81.424
MFL.JO,Metrofile Holdings Ltd,Industrials,1448557936.64,0.312,1070.5128,0.26347,259.31677,0.44939998,155.18074,1785521.28,104.157
MHB.JO,Mahube Infrastructure Ltd,Financial Services,289542758.4,0.289,1816.609,0.026199998,48.129814,1.7330999,4535444.0,-300820.5,0.149
MIX.JO,Mix Telematics Ltd,Technology,4281431162.88,0.39,1810.2565,0.116960004,3137.7778,0.35970002,3070.8655,145930.0,6.337
MKR.JO,Montauk Renewables Inc,Utilities,22139355791.36,-0.853,632.3529,-0.04572,12712.551,0.0,17203.365,206417.5,34.637
